,Date,Average USD,Primary Sales USD,Primary Sales,Secondary Sales USD,Secondary Sales,Sales USD,Number of Sales,Unique Buyers,Unique Sellers,Active Market Wallets
0,2017-06-22,,0.0,0,0.0,0,0.0,0,0,0,0.0
1,2017-06-23,53.7,0.0,0,1020.3,19,1020.3,19,8,2,8.0
2,2017-06-24,56.53,0.0,0,2261.14,40,2261.14,40,13,11,21.0
3,2017-06-25,52.43,0.0,0,2778.69,53,2778.69,53,18,15,28.0
4,2017-06-26,47.81,0.0,0,3203.32,67,3203.32,67,20,19,34.0
5,2017-06-27,52.96,0.0,0,5296.23,100,5296.23,100,22,27,44.0
6,2017-06-28,56.9,0.0,0,6543.49,115,6543.49,115,23,28,46.0
7,2017-06-29,57.05,0.0,0,8729.21,153,8729.21,153,28,29,49.0
8,2017-06-30,59.98,0.0,0,10437.36,174,10437.36,174,32,29,53.0
9,2017-07-01,73.79,0.0,0,13578.16,184,13578.16,184,32,31,55.0
10,2017-07-02,76.76,0.0,0,16502.77,215,16502.77,215,33,32,57.0
11,2017-07-03,89.3,0.0,0,23752.56,266,23752.56,266,35,34,59.0
12,2017-07-04,115.0,0.0,0,37258.49,324,37258.49,324,38,34,62.0
13,2017-07-05,114.32,0.0,0,39098.78,342,39098.78,342,38,34,62.0
14,2017-07-06,126.36,0.0,0,46120.95,365,46120.95,365,40,37,64.0
15,2017-07-07,132.35,0.0,0,53203.46,402,53203.46,402,40,40,65.0
16,2017-07-08,130.63,0.0,0,56431.34,432,56431.34,432,41,41,67.0
17,2017-07-09,129.28,0.0,0,57400.45,444,57400.45,444,43,42,70.0
18,2017-07-10,135.16,0.0,0,62310.5,461,62310.5,461,46,43,74.0
19,2017-07-11,134.96,0.0,0,68019.87,504,68019.87,504,47,45,76.0
20,2017-07-12,133.97,0.0,0,69798.6,521,69798.6,521,49,48,81.0
21,2017-07-13,136.05,0.0,0,75099.57,552,75099.57,552,51,51,86.0
22,2017-07-14,135.15,0.0,0,75547.97,559,75547.97,559,53,52,87.0
23,2017-07-15,134.92,0.0,0,76097.66,564,76097.66,564,55,52,88.0
24,2017-07-16,134.77,0.0,0,76416.85,567,76416.85,567,57,52,90.0
25,2017-07-17,136.13,0.0,0,77869.05,572,77869.05,572,57,54,91.0
26,2017-07-18,134.2,0.0,0,80790.72,602,80790.72,602,59,54,93.0
27,2017-07-19,133.06,0.0,0,84227.47,633,84227.47,633,60,54,93.0
28,2017-07-20,132.39,0.0,0,86580.18,654,86580.18,654,60,55,93.0
