"Date","Average USD"
"2017-06-22",NaN
"2017-06-23",53.7
"2017-06-24",56.53
"2017-06-25",52.43
"2017-06-26",47.81
"2017-06-27",52.96
"2017-06-28",56.9
"2017-06-29",57.05
"2017-06-30",59.98
"2017-07-01",73.79
"2017-07-02",76.76
"2017-07-03",89.3
"2017-07-04",115
"2017-07-05",114.32
"2017-07-06",126.36
"2017-07-07",132.35
"2017-07-08",130.63
"2017-07-09",129.28
"2017-07-10",135.16
"2017-07-11",134.96
"2017-07-12",133.97
"2017-07-13",136.05
"2017-07-14",135.15
"2017-07-15",134.92
"2017-07-16",134.77
"2017-07-17",136.13
"2017-07-18",134.2
"2017-07-19",133.06
"2017-07-20",132.39
"2017-07-21",131.43
"2017-07-22",130.47
"2017-07-23",129.94
"2017-07-24",128.78
"2017-07-25",129.82
"2017-07-26",129.35
"2017-07-27",129.15
"2017-07-28",128.78
"2017-07-29",128.74
"2017-07-30",127.97
"2017-07-31",127.92
"2017-08-01",127.72
"2017-08-02",128.25
"2017-08-03",130.7
"2017-08-04",130.7
"2017-08-05",132.31
"2017-08-06",132.31
"2017-08-07",132.23
"2017-08-08",132.66
"2017-08-09",132.5
"2017-08-10",132.39
"2017-08-11",131.89
"2017-08-12",130.42
"2017-08-13",130.29
"2017-08-14",130.42
"2017-08-15",130.11
"2017-08-16",130.05
"2017-08-17",129.92
"2017-08-18",129.87
"2017-08-19",129.86
"2017-08-20",129.89
"2017-08-21",129.6
"2017-08-22",129.55
"2017-08-23",129.43
"2017-08-24",129.43
"2017-08-25",129.28
"2017-08-26",129.24
"2017-08-27",129.24
"2017-08-28",129.22
"2017-08-29",129.18
"2017-08-30",129.08
"2017-08-31",129.05
"2017-09-01",128.89
"2017-09-02",128.53
"2017-09-03",128.53
"2017-09-04",128.45
"2017-09-05",128.45
"2017-09-06",128.45
"2017-09-07",128.45
"2017-09-08",128.39
"2017-09-09",128.39
"2017-09-10",128.18
"2017-09-11",128.05
"2017-09-12",127.85
"2017-09-13",127.85
"2017-09-14",127.85
"2017-09-15",127.85
"2017-09-16",127.79
"2017-09-17",127.65
"2017-09-18",127.58
"2017-09-19",127.43
"2017-09-20",127.42
"2017-09-21",127.08
"2017-09-22",127.02
"2017-09-23",126.73
"2017-09-24",126.65
"2017-09-25",126.65
"2017-09-26",126.65
"2017-09-27",126.56
"2017-09-28",126.46
"2017-09-29",125.84
"2017-09-30",124.65
"2017-10-01",125
"2017-10-02",125
"2017-10-03",125
"2017-10-04",124.93
"2017-10-05",124.93
"2017-10-06",124.93
"2017-10-07",124.93
"2017-10-08",124.9
"2017-10-09",124.79
"2017-10-10",124.79
"2017-10-11",124.73
"2017-10-12",124.64
"2017-10-13",124.49
"2017-10-14",124.23
"2017-10-15",124.02
"2017-10-16",123.95
"2017-10-17",123.95
"2017-10-18",123.95
"2017-10-19",123.85
"2017-10-20",123.82
"2017-10-21",123.77
"2017-10-22",123.77
"2017-10-23",123.77
"2017-10-24",123.77
"2017-10-25",123.69
"2017-10-26",123.07
"2017-10-27",122.48
"2017-10-28",121.91
"2017-10-29",121.81
"2017-10-30",121.65
"2017-10-31",121.14
"2017-11-01",120.76
"2017-11-02",120.5
"2017-11-03",120.5
"2017-11-04",120.23
"2017-11-05",120.23
"2017-11-06",120.23
"2017-11-07",120.37
"2017-11-08",120.37
"2017-11-09",120.28
"2017-11-10",120.28
"2017-11-11",120.28
"2017-11-12",120.25
"2017-11-13",120.07
"2017-11-14",120.02
"2017-11-15",119.92
"2017-11-16",119.92
"2017-11-17",119.92
"2017-11-18",119.92
"2017-11-19",119.83
"2017-11-20",119.5
"2017-11-21",108.49
"2017-11-22",103.38
"2017-11-23",60.44
"2017-11-24",25.55
"2017-11-25",18.65
"2017-11-26",16.17
"2017-11-27",14.72
"2017-11-28",13.01
"2017-11-29",10.55
"2017-11-30",8
"2017-12-01",7.18
"2017-12-02",10.92
"2017-12-03",20.71
"2017-12-04",35.15
"2017-12-05",40.66
"2017-12-06",43.81
"2017-12-07",44.36
"2017-12-08",44.85
"2017-12-09",43.55
"2017-12-10",41.2
"2017-12-11",39.3
"2017-12-12",37.88
"2017-12-13",36.88
"2017-12-14",35.84
"2017-12-15",35.16
"2017-12-16",35.3
"2017-12-17",35.19
"2017-12-18",34.91
"2017-12-19",34.82
"2017-12-20",35.08
"2017-12-21",35.92
"2017-12-22",37.99
"2017-12-23",40.37
"2017-12-24",41.89
"2017-12-25",43.96
"2017-12-26",44.86
"2017-12-27",45.19
"2017-12-28",45.12
"2017-12-29",45.07
"2017-12-30",44.87
"2017-12-31",44.71
"2018-01-01",44.46
"2018-01-02",44.35
"2018-01-03",44.31
"2018-01-04",44.24
"2018-01-05",44.18
"2018-01-06",44.12
"2018-01-07",44.03
"2018-01-08",43.96
"2018-01-09",43.93
"2018-01-10",43.93
"2018-01-11",43.88
"2018-01-12",43.82
"2018-01-13",43.76
"2018-01-14",43.72
"2018-01-15",43.68
"2018-01-16",43.64
"2018-01-17",43.57
"2018-01-18",43.49
"2018-01-19",43.42
"2018-01-20",43.44
"2018-01-21",43.36
"2018-01-22",43.26
"2018-01-23",43.16
"2018-01-24",43.08
"2018-01-25",43.01
"2018-01-26",42.93
"2018-01-27",42.83
"2018-01-28",42.78
"2018-01-29",42.71
"2018-01-30",42.62
"2018-01-31",42.59
"2018-02-01",42.53
"2018-02-02",42.46
"2018-02-03",42.38
"2018-02-04",42.32
"2018-02-05",42.24
"2018-02-06",42.12
"2018-02-07",42.02
"2018-02-08",41.93
