"Date","Secondary Sales"
"2017-06-22",0
"2017-06-23",19
"2017-06-24",40
"2017-06-25",53
"2017-06-26",67
"2017-06-27",100
"2017-06-28",115
"2017-06-29",153
"2017-06-30",174
"2017-07-01",184
"2017-07-02",215
"2017-07-03",266
"2017-07-04",324
"2017-07-05",342
"2017-07-06",365
"2017-07-07",402
"2017-07-08",432
"2017-07-09",444
"2017-07-10",461
"2017-07-11",504
"2017-07-12",521
"2017-07-13",552
"2017-07-14",559
"2017-07-15",564
"2017-07-16",567
"2017-07-17",572
"2017-07-18",602
"2017-07-19",633
"2017-07-20",654
"2017-07-21",675
"2017-07-22",688
"2017-07-23",694
"2017-07-24",709
"2017-07-25",717
"2017-07-26",722
"2017-07-27",724
"2017-07-28",729
"2017-07-29",737
"2017-07-30",753
"2017-07-31",755
"2017-08-01",757
"2017-08-02",758
"2017-08-03",779
"2017-08-04",779
"2017-08-05",781
"2017-08-06",781
"2017-08-07",782
"2017-08-08",787
"2017-08-09",790
"2017-08-10",792
"2017-08-11",800
"2017-08-12",817
"2017-08-13",824
"2017-08-14",827
"2017-08-15",831
"2017-08-16",833
"2017-08-17",835
"2017-08-18",836
"2017-08-19",837
"2017-08-20",838
"2017-08-21",846
"2017-08-22",847
"2017-08-23",849
"2017-08-24",849
"2017-08-25",852
"2017-08-26",853
"2017-08-27",853
"2017-08-28",862
"2017-08-29",863
"2017-08-30",865
"2017-08-31",866
"2017-09-01",871
"2017-09-02",874
"2017-09-03",874
"2017-09-04",877
"2017-09-05",877
"2017-09-06",877
"2017-09-07",877
"2017-09-08",878
"2017-09-09",878
"2017-09-10",881
"2017-09-11",883
"2017-09-12",885
"2017-09-13",885
"2017-09-14",885
"2017-09-15",885
"2017-09-16",886
"2017-09-17",888
"2017-09-18",889
"2017-09-19",893
"2017-09-20",896
"2017-09-21",900
"2017-09-22",901
"2017-09-23",905
"2017-09-24",906
"2017-09-25",906
"2017-09-26",906
"2017-09-27",910
"2017-09-28",911
"2017-09-29",918
"2017-09-30",928
"2017-10-01",929
"2017-10-02",929
"2017-10-03",929
"2017-10-04",930
"2017-10-05",930
"2017-10-06",930
"2017-10-07",930
"2017-10-08",931
"2017-10-09",932
"2017-10-10",932
"2017-10-11",933
"2017-10-12",934
"2017-10-13",938
"2017-10-14",942
"2017-10-15",945
"2017-10-16",947
"2017-10-17",947
"2017-10-18",947
"2017-10-19",948
"2017-10-20",949
"2017-10-21",950
"2017-10-22",950
"2017-10-23",950
"2017-10-24",950
"2017-10-25",951
"2017-10-26",958
"2017-10-27",964
"2017-10-28",970
"2017-10-29",971
"2017-10-30",974
"2017-10-31",980
"2017-11-01",984
"2017-11-02",987
"2017-11-03",987
"2017-11-04",990
"2017-11-05",990
"2017-11-06",990
"2017-11-07",991
"2017-11-08",991
"2017-11-09",993
"2017-11-10",993
"2017-11-11",993
"2017-11-12",994
"2017-11-13",996
"2017-11-14",997
"2017-11-15",999
"2017-11-16",999
"2017-11-17",999
"2017-11-18",999
"2017-11-19",1000
"2017-11-20",1004
"2017-11-21",1009
"2017-11-22",1030
"2017-11-23",1182
"2017-11-24",1662
"2017-11-25",1854
"2017-11-26",1984
"2017-11-27",2138
"2017-11-28",2675
"2017-11-29",4457
"2017-11-30",6351
"2017-12-01",8459
"2017-12-02",12799
"2017-12-03",25858
"2017-12-04",41316
"2017-12-05",57584
"2017-12-06",70162
"2017-12-07",85979
"2017-12-08",104162
"2017-12-09",124116
"2017-12-10",144530
"2017-12-11",163569
"2017-12-12",177117
"2017-12-13",189598
"2017-12-14",200611
"2017-12-15",208875
"2017-12-16",217373
"2017-12-17",224697
"2017-12-18",232037
"2017-12-19",236983
"2017-12-20",247565
"2017-12-21",252955
"2017-12-22",256661
"2017-12-23",260669
"2017-12-24",264592
"2017-12-25",267779
"2017-12-26",270731
"2017-12-27",274156
"2017-12-28",277521
"2017-12-29",280451
"2017-12-30",283217
"2017-12-31",285880
"2018-01-01",288701
"2018-01-02",291247
"2018-01-03",292761
"2018-01-04",293779
"2018-01-05",294675
"2018-01-06",295908
"2018-01-07",297161
"2018-01-08",298215
"2018-01-09",298919
"2018-01-10",299433
"2018-01-11",300265
"2018-01-12",301275
"2018-01-13",302149
"2018-01-14",303126
"2018-01-15",303813
"2018-01-16",304568
"2018-01-17",305391
"2018-01-18",306378
"2018-01-19",307472
"2018-01-20",308651
"2018-01-21",309809
"2018-01-22",310967
"2018-01-23",312111
"2018-01-24",313085
"2018-01-25",313960
"2018-01-26",314929
"2018-01-27",316050
"2018-01-28",317107
"2018-01-29",318056
"2018-01-30",319091
"2018-01-31",320045
"2018-02-01",320702
"2018-02-02",321578
"2018-02-03",322445
"2018-02-04",323185
"2018-02-05",324174
"2018-02-06",325308
"2018-02-07",326369
"2018-02-08",327422
"2018-02-09",328577
"2018-02-10",329468
"2018-02-11",330858
"2018-02-12",332068
"2018-02-13",333527
"2018-02-14",336384
"2018-02-15",339283
"2018-02-16",341023
"2018-02-17",342561
"2018-02-18",344418
"2018-02-19",346304
"2018-02-20",347707
"2018-02-21",348929
"2018-02-22",350082
"2018-02-23",351381
"2018-02-24",353644
"2018-02-25",355353
"2018-02-26",356900
"2018-02-27",359329
"2018-02-28",360924
"2018-03-01",362386
"2018-03-02",363609
"2018-03-03",364821
"2018-03-04",366092
"2018-03-05",367089
"2018-03-06",368337
"2018-03-07",370142
"2018-03-08",371801
"2018-03-09",373187
"2018-03-10",374254
"2018-03-11",375349
"2018-03-12",377102
"2018-03-13",378045
"2018-03-14",379313
"2018-03-15",380348
"2018-03-16",381288
"2018-03-17",382232
"2018-03-18",382985
"2018-03-19",383836
"2018-03-20",384976
"2018-03-21",386388
"2018-03-22",387714
"2018-03-23",389064
"2018-03-24",390284
"2018-03-25",391400
"2018-03-26",392427
"2018-03-27",393743
"2018-03-28",394714
"2018-03-29",395551
"2018-03-30",396619
"2018-03-31",397633
"2018-04-01",398608
"2018-04-02",399823
"2018-04-03",400902
"2018-04-04",401935
"2018-04-05",402959
"2018-04-06",404295
"2018-04-07",405350
"2018-04-08",406624
"2018-04-09",407720
"2018-04-10",408725
"2018-04-11",409985
"2018-04-12",411139
"2018-04-13",412745
"2018-04-14",413938
"2018-04-15",415108
"2018-04-16",416251
"2018-04-17",417347
"2018-04-18",418239
"2018-04-19",419122
"2018-04-20",419987
"2018-04-21",420837
"2018-04-22",421555
"2018-04-23",422232
"2018-04-24",423060
"2018-04-25",424010
"2018-04-26",424665
"2018-04-27",425727
"2018-04-28",426509
"2018-04-29",427212
"2018-04-30",427951
"2018-05-01",428651
"2018-05-02",429261
"2018-05-03",429812
"2018-05-04",430481
"2018-05-05",431086
"2018-05-06",431759
"2018-05-07",432452
"2018-05-08",433343
"2018-05-09",433914
"2018-05-10",434507
"2018-05-11",435246
"2018-05-12",435882
"2018-05-13",436449
"2018-05-14",436896
"2018-05-15",437432
"2018-05-16",438153
"2018-05-17",438708
"2018-05-18",439242
"2018-05-19",439831
"2018-05-20",440440
"2018-05-21",440994
"2018-05-22",441426
"2018-05-23",441796
"2018-05-24",442647
"2018-05-25",443698
"2018-05-26",444432
"2018-05-27",445133
"2018-05-28",445763
"2018-05-29",446372
"2018-05-30",447095
"2018-05-31",447766
"2018-06-01",448535
"2018-06-02",449089
"2018-06-03",449587
"2018-06-04",450059
"2018-06-05",450610
"2018-06-06",451241
"2018-06-07",451862
"2018-06-08",452457
"2018-06-09",453030
"2018-06-10",453487
"2018-06-11",454004
"2018-06-12",454611
"2018-06-13",455212
"2018-06-14",455582
"2018-06-15",456170
"2018-06-16",456548
"2018-06-17",456979
"2018-06-18",457579
"2018-06-19",458191
"2018-06-20",458808
"2018-06-21",459399
"2018-06-22",460271
"2018-06-23",460965
"2018-06-24",461563
"2018-06-25",462177
"2018-06-26",462774
"2018-06-27",463363
"2018-06-28",463939
"2018-06-29",464661
"2018-06-30",465017
"2018-07-01",465278
"2018-07-02",465404
"2018-07-03",465568
"2018-07-04",465714
"2018-07-05",466019
"2018-07-06",466243
"2018-07-07",466381
"2018-07-08",466719
"2018-07-09",467106
"2018-07-10",467482
"2018-07-11",468111
"2018-07-12",468624
"2018-07-13",469104
"2018-07-14",469340
"2018-07-15",469669
"2018-07-16",470116
"2018-07-17",470623
"2018-07-18",471139
"2018-07-19",471960
"2018-07-20",472645
"2018-07-21",473118
"2018-07-22",473698
"2018-07-23",474544
"2018-07-24",475128
"2018-07-25",475635
"2018-07-26",476284
"2018-07-27",476956
"2018-07-28",477522
"2018-07-29",478078
"2018-07-30",478570
"2018-07-31",479113
"2018-08-01",479599
"2018-08-02",480255
"2018-08-03",480835
"2018-08-04",481505
"2018-08-05",482210
"2018-08-06",482844
"2018-08-07",483334
"2018-08-08",483632
"2018-08-09",483968
"2018-08-10",484395
"2018-08-11",484979
"2018-08-12",485669
"2018-08-13",486464
"2018-08-14",487361
"2018-08-15",488096
"2018-08-16",488897
"2018-08-17",489771
"2018-08-18",491339
"2018-08-19",492546
"2018-08-20",493595
"2018-08-21",494579
"2018-08-22",495224
"2018-08-23",496219
"2018-08-24",497324
"2018-08-25",498490
"2018-08-26",499299
"2018-08-27",500063
"2018-08-28",500966
"2018-08-29",502090
"2018-08-30",503305
"2018-08-31",504500
"2018-09-01",505678
"2018-09-02",506837
"2018-09-03",507864
"2018-09-04",508823
"2018-09-05",510060
"2018-09-06",511501
"2018-09-07",513137
"2018-09-08",514568
"2018-09-09",516353
"2018-09-10",517729
"2018-09-11",519459
"2018-09-12",521174
"2018-09-13",522520
"2018-09-14",523925
"2018-09-15",525005
"2018-09-16",525879
"2018-09-17",526755
"2018-09-18",527907
"2018-09-19",528896
"2018-09-20",529706
"2018-09-21",530495
"2018-09-22",531376
"2018-09-23",532329
"2018-09-24",533288
"2018-09-25",534354
"2018-09-26",535419
"2018-09-27",536637
"2018-09-28",537501
"2018-09-29",538410
"2018-09-30",539243
"2018-10-01",539860
"2018-10-02",540498
"2018-10-03",541295
"2018-10-04",542033
"2018-10-05",543154
"2018-10-06",543963
"2018-10-07",544939
"2018-10-08",545874
"2018-10-09",546763
"2018-10-10",547762
"2018-10-11",548689
"2018-10-12",549559
"2018-10-13",550446
"2018-10-14",551160
"2018-10-15",551890
"2018-10-16",552770
"2018-10-17",553790
"2018-10-18",554679
"2018-10-19",556131
"2018-10-20",557110
"2018-10-21",557924
"2018-10-22",558562
"2018-10-23",559446
"2018-10-24",560531
"2018-10-25",561335
"2018-10-26",562107
"2018-10-27",563036
"2018-10-28",563926
"2018-10-29",564735
"2018-10-30",565527
"2018-10-31",566413
"2018-11-01",567437
"2018-11-02",568410
"2018-11-03",569282
"2018-11-04",570249
"2018-11-05",571212
"2018-11-06",572101
"2018-11-07",572812
"2018-11-08",573755
"2018-11-09",574668
"2018-11-10",575474
"2018-11-11",576192
"2018-11-12",576999
"2018-11-13",578044
"2018-11-14",579134
"2018-11-15",580663
"2018-11-16",581792
"2018-11-17",582691
"2018-11-18",583745
"2018-11-19",584496
"2018-11-20",585289
"2018-11-21",586276
"2018-11-22",587426
"2018-11-23",588306
"2018-11-24",589169
"2018-11-25",589973
"2018-11-26",591096
"2018-11-27",592160
"2018-11-28",593190
"2018-11-29",594088
"2018-11-30",595027
"2018-12-01",596477
"2018-12-02",597456
"2018-12-03",598486
"2018-12-04",599570
"2018-12-05",608640
"2018-12-06",609794
"2018-12-07",612002
"2018-12-08",613776
"2018-12-09",614965
"2018-12-10",616084
"2018-12-11",617073
"2018-12-12",618106
"2018-12-13",619194
"2018-12-14",620296
"2018-12-15",621557
"2018-12-16",622628
"2018-12-17",623449
"2018-12-18",624311
"2018-12-19",625223
"2018-12-20",626268
"2018-12-21",627106
"2018-12-22",628003
"2018-12-23",628990
"2018-12-24",629934
"2018-12-25",630704
"2018-12-26",631492
"2018-12-27",632175
"2018-12-28",633074
"2018-12-29",633973
"2018-12-30",634641
"2018-12-31",635378
"2019-01-01",636075
"2019-01-02",636810
"2019-01-03",637569
"2019-01-04",638291
"2019-01-05",638994
"2019-01-06",639756
"2019-01-07",640720
"2019-01-08",641448
"2019-01-09",642162
"2019-01-10",643632
"2019-01-11",645445
"2019-01-12",646640
"2019-01-13",648002
"2019-01-14",649161
"2019-01-15",650178
"2019-01-16",651131
"2019-01-17",652232
"2019-01-18",653260
"2019-01-19",654484
"2019-01-20",656094
"2019-01-21",657274
"2019-01-22",658133
"2019-01-23",659191
"2019-01-24",660131
"2019-01-25",661205
"2019-01-26",662802
"2019-01-27",664073
"2019-01-28",665205
"2019-01-29",666266
"2019-01-30",667383
"2019-01-31",668221
"2019-02-01",669400
"2019-02-02",670403
"2019-02-03",671536
"2019-02-04",672557
