"Date","Number of Sales"
"2017-06-22",0
"2017-06-23",19
"2017-06-24",40
"2017-06-25",53
"2017-06-26",67
"2017-06-27",100
"2017-06-28",115
"2017-06-29",153
"2017-06-30",174
"2017-07-01",184
"2017-07-02",215
"2017-07-03",266
"2017-07-04",324
"2017-07-05",342
"2017-07-06",365
"2017-07-07",402
"2017-07-08",432
"2017-07-09",444
"2017-07-10",461
"2017-07-11",504
"2017-07-12",521
"2017-07-13",552
"2017-07-14",559
"2017-07-15",564
"2017-07-16",567
"2017-07-17",572
"2017-07-18",602
"2017-07-19",633
"2017-07-20",654
"2017-07-21",675
"2017-07-22",688
"2017-07-23",694
"2017-07-24",709
"2017-07-25",717
"2017-07-26",722
"2017-07-27",724
"2017-07-28",729
"2017-07-29",737
"2017-07-30",753
"2017-07-31",755
"2017-08-01",757
"2017-08-02",758
"2017-08-03",779
"2017-08-04",779
"2017-08-05",781
"2017-08-06",781
"2017-08-07",782
"2017-08-08",787
"2017-08-09",790
"2017-08-10",792
"2017-08-11",800
"2017-08-12",817
"2017-08-13",824
"2017-08-14",827
"2017-08-15",831
"2017-08-16",833
"2017-08-17",835
"2017-08-18",836
"2017-08-19",837
"2017-08-20",838
"2017-08-21",846
"2017-08-22",847
"2017-08-23",849
"2017-08-24",849
"2017-08-25",852
"2017-08-26",853
"2017-08-27",853
"2017-08-28",862
"2017-08-29",863
"2017-08-30",865
"2017-08-31",866
"2017-09-01",871
"2017-09-02",874
"2017-09-03",874
"2017-09-04",877
"2017-09-05",877
"2017-09-06",877
"2017-09-07",877
"2017-09-08",878
"2017-09-09",878
"2017-09-10",881
"2017-09-11",883
"2017-09-12",885
"2017-09-13",885
"2017-09-14",885
"2017-09-15",885
"2017-09-16",886
"2017-09-17",888
"2017-09-18",889
"2017-09-19",893
"2017-09-20",896
"2017-09-21",900
"2017-09-22",901
"2017-09-23",905
"2017-09-24",906
"2017-09-25",906
"2017-09-26",906
"2017-09-27",910
"2017-09-28",911
"2017-09-29",918
"2017-09-30",928
"2017-10-01",929
"2017-10-02",929
"2017-10-03",929
"2017-10-04",930
"2017-10-05",930
"2017-10-06",930
"2017-10-07",930
"2017-10-08",931
"2017-10-09",932
"2017-10-10",932
"2017-10-11",933
"2017-10-12",934
"2017-10-13",938
"2017-10-14",942
"2017-10-15",945
"2017-10-16",947
"2017-10-17",947
"2017-10-18",947
"2017-10-19",948
"2017-10-20",949
"2017-10-21",950
"2017-10-22",950
"2017-10-23",950
"2017-10-24",950
"2017-10-25",951
"2017-10-26",958
"2017-10-27",964
"2017-10-28",970
"2017-10-29",971
"2017-10-30",974
"2017-10-31",980
"2017-11-01",984
"2017-11-02",987
"2017-11-03",987
"2017-11-04",990
"2017-11-05",990
"2017-11-06",990
"2017-11-07",991
"2017-11-08",991
"2017-11-09",993
"2017-11-10",993
"2017-11-11",993
"2017-11-12",994
"2017-11-13",996
"2017-11-14",997
"2017-11-15",999
"2017-11-16",999
"2017-11-17",999
"2017-11-18",999
"2017-11-19",1000
"2017-11-20",1004
"2017-11-21",1109
"2017-11-22",1171
"2017-11-23",2051
"2017-11-24",5144
"2017-11-25",7173
"2017-11-26",8420
"2017-11-27",9388
"2017-11-28",10981
"2017-11-29",16366
"2017-11-30",24539
"2017-12-01",32372
"2017-12-02",45438
"2017-12-03",74211
"2017-12-04",113073
"2017-12-05",154980
"2017-12-06",187901
"2017-12-07",225591
"2017-12-08",270581
"2017-12-09",321111
"2017-12-10",373568
"2017-12-11",420599
"2017-12-12",458600
"2017-12-13",488246
"2017-12-14",519575
"2017-12-15",542586
"2017-12-16",569853
"2017-12-17",591087
"2017-12-18",610406
"2017-12-19",624620
"2017-12-20",645115
"2017-12-21",660951
"2017-12-22",677368
"2017-12-23",692094
"2017-12-24",704843
"2017-12-25",714720
"2017-12-26",722632
"2017-12-27",731784
"2017-12-28",741761
"2017-12-29",750224
"2017-12-30",756847
"2017-12-31",763808
"2018-01-01",771225
"2018-01-02",777883
"2018-01-03",781650
"2018-01-04",784254
"2018-01-05",786330
"2018-01-06",789209
"2018-01-07",792369
"2018-01-08",794919
"2018-01-09",796731
"2018-01-10",798097
"2018-01-11",800179
"2018-01-12",802705
"2018-01-13",805205
"2018-01-14",808001
"2018-01-15",809838
"2018-01-16",811880
"2018-01-17",814177
"2018-01-18",816907
"2018-01-19",820043
"2018-01-20",823265
"2018-01-21",826364
"2018-01-22",829412
"2018-01-23",832304
"2018-01-24",834959
"2018-01-25",837230
"2018-01-26",840015
"2018-01-27",843157
"2018-01-28",845855
"2018-01-29",848291
"2018-01-30",851300
"2018-01-31",854171
"2018-02-01",856254
"2018-02-02",858731
"2018-02-03",861067
"2018-02-04",863158
"2018-02-05",865466
"2018-02-06",868797
"2018-02-07",871732
"2018-02-08",874456
"2018-02-09",877281
"2018-02-10",879430
"2018-02-11",882819
"2018-02-12",886047
"2018-02-13",889690
"2018-02-14",895318
"2018-02-15",901734
"2018-02-16",907181
"2018-02-17",911530
"2018-02-18",915948
"2018-02-19",920939
"2018-02-20",925498
"2018-02-21",929557
"2018-02-22",933437
"2018-02-23",937615
"2018-02-24",946129
"2018-02-25",955329
"2018-02-26",962125
"2018-02-27",970588
"2018-02-28",978311
"2018-03-01",984463
"2018-03-02",988868
"2018-03-03",993311
"2018-03-04",998458
"2018-03-05",1002875
"2018-03-06",1006687
"2018-03-07",1011489
"2018-03-08",1018236
"2018-03-09",1024188
"2018-03-10",1033351
"2018-03-11",1037789
"2018-03-12",1042623
"2018-03-13",1046381
"2018-03-14",1050832
"2018-03-15",1054768
"2018-03-16",1057897
"2018-03-17",1061663
"2018-03-18",1064487
"2018-03-19",1067614
"2018-03-20",1070675
"2018-03-21",1074056
"2018-03-22",1077458
"2018-03-23",1080614
"2018-03-24",1083790
"2018-03-25",1090119
"2018-03-26",1093168
"2018-03-27",1096622
"2018-03-28",1100294
"2018-03-29",1104144
"2018-03-30",1109912
"2018-03-31",1113083
"2018-04-01",1115995
"2018-04-02",1119203
"2018-04-03",1122448
"2018-04-04",1125443
"2018-04-05",1128199
"2018-04-06",1132012
"2018-04-07",1134753
"2018-04-08",1142239
"2018-04-09",1147516
"2018-04-10",1150795
"2018-04-11",1154265
"2018-04-12",1157208
"2018-04-13",1163391
"2018-04-14",1168277
"2018-04-15",1172238
"2018-04-16",1176029
"2018-04-17",1181134
"2018-04-18",1185288
"2018-04-19",1189160
"2018-04-20",1193233
"2018-04-21",1195805
"2018-04-22",1197621
"2018-04-23",1199485
"2018-04-24",1201706
"2018-04-25",1203991
"2018-04-26",1205785
"2018-04-27",1209173
"2018-04-28",1214448
"2018-04-29",1224381
"2018-04-30",1227732
"2018-05-01",1229980
"2018-05-02",1232087
"2018-05-03",1233812
"2018-05-04",1236668
"2018-05-05",1240185
"2018-05-06",1243015
"2018-05-07",1245749
"2018-05-08",1249473
"2018-05-09",1251863
"2018-05-10",1253953
"2018-05-11",1256460
"2018-05-12",1258734
"2018-05-13",1260536
"2018-05-14",1261945
"2018-05-15",1263590
"2018-05-16",1266044
"2018-05-17",1269927
"2018-05-18",1273304
"2018-05-19",1276953
"2018-05-20",1279616
"2018-05-21",1281444
"2018-05-22",1283296
"2018-05-23",1285008
"2018-05-24",1288044
"2018-05-25",1290352
"2018-05-26",1293097
"2018-05-27",1295928
"2018-05-28",1298029
"2018-05-29",1302140
"2018-05-30",1306675
"2018-05-31",1310025
"2018-06-01",1312904
"2018-06-02",1315817
"2018-06-03",1318145
"2018-06-04",1320336
"2018-06-05",1322850
"2018-06-06",1324861
"2018-06-07",1327034
"2018-06-08",1329098
"2018-06-09",1331879
"2018-06-10",1333944
"2018-06-11",1337325
"2018-06-12",1340228
"2018-06-13",1342500
"2018-06-14",1344426
"2018-06-15",1349679
"2018-06-16",1352035
"2018-06-17",1354470
"2018-06-18",1357225
"2018-06-19",1359989
"2018-06-20",1361964
"2018-06-21",1365053
"2018-06-22",1370290
"2018-06-23",1373318
"2018-06-24",1376361
"2018-06-25",1378935
"2018-06-26",1381259
"2018-06-27",1383687
"2018-06-28",1386320
"2018-06-29",1389618
"2018-06-30",1392040
"2018-07-01",1393373
"2018-07-02",1394072
"2018-07-03",1394697
"2018-07-04",1395452
"2018-07-05",1396460
"2018-07-06",1398176
"2018-07-07",1399442
"2018-07-08",1401227
"2018-07-09",1404024
"2018-07-10",1406071
"2018-07-11",1408492
"2018-07-12",1411480
"2018-07-13",1415300
"2018-07-14",1416916
"2018-07-15",1418401
"2018-07-16",1420586
"2018-07-17",1422510
"2018-07-18",1424392
"2018-07-19",1426695
"2018-07-20",1428605
"2018-07-21",1430864
"2018-07-22",1433156
"2018-07-23",1435704
"2018-07-24",1437625
"2018-07-25",1440126
"2018-07-26",1443563
"2018-07-27",1447715
"2018-07-28",1450862
"2018-07-29",1453110
"2018-07-30",1454972
"2018-07-31",1457046
"2018-08-01",1459607
"2018-08-02",1461976
"2018-08-03",1463753
"2018-08-04",1465770
"2018-08-05",1467617
"2018-08-06",1469238
"2018-08-07",1470659
"2018-08-08",1472143
"2018-08-09",1473552
"2018-08-10",1475046
"2018-08-11",1476923
"2018-08-12",1479377
"2018-08-13",1482109
"2018-08-14",1485513
"2018-08-15",1488946
"2018-08-16",1492750
"2018-08-17",1497980
"2018-08-18",1504665
"2018-08-19",1511898
"2018-08-20",1515646
"2018-08-21",1519406
"2018-08-22",1522064
"2018-08-23",1526382
"2018-08-24",1531784
"2018-08-25",1536896
"2018-08-26",1540834
"2018-08-27",1545928
"2018-08-28",1550202
"2018-08-29",1555294
"2018-08-30",1563724
"2018-08-31",1574485
"2018-09-01",1584167
"2018-09-02",1592380
"2018-09-03",1599800
"2018-09-04",1604883
"2018-09-05",1610597
"2018-09-06",1617986
"2018-09-07",1626064
"2018-09-08",1632253
"2018-09-09",1641486
"2018-09-10",1649645
"2018-09-11",1660594
"2018-09-12",1670510
"2018-09-13",1675016
"2018-09-14",1679845
"2018-09-15",1683669
"2018-09-16",1686990
"2018-09-17",1690917
"2018-09-18",1695242
"2018-09-19",1700681
"2018-09-20",1705185
"2018-09-21",1710577
"2018-09-22",1717722
"2018-09-23",1723289
"2018-09-24",1728181
"2018-09-25",1732996
"2018-09-26",1738902
"2018-09-27",1745165
"2018-09-28",1748855
"2018-09-29",1753158
"2018-09-30",1758183
"2018-10-01",1762628
"2018-10-02",1765788
"2018-10-03",1769609
"2018-10-04",1773972
"2018-10-05",1781408
"2018-10-06",1785941
"2018-10-07",1790477
"2018-10-08",1794765
"2018-10-09",1798518
"2018-10-10",1802879
"2018-10-11",1809223
"2018-10-12",1813951
"2018-10-13",1817964
"2018-10-14",1821299
"2018-10-15",1824454
"2018-10-16",1827848
"2018-10-17",1833412
"2018-10-18",1836917
"2018-10-19",1845021
"2018-10-20",1849733
"2018-10-21",1855275
"2018-10-22",1859517
"2018-10-23",1864751
"2018-10-24",1869052
"2018-10-25",1872621
"2018-10-26",1877218
"2018-10-27",1882671
"2018-10-28",1886974
"2018-10-29",1891285
"2018-10-30",1895114
"2018-10-31",1898882
"2018-11-01",1902844
"2018-11-02",1906696
"2018-11-03",1911329
"2018-11-04",1915910
"2018-11-05",1920315
"2018-11-06",1924033
"2018-11-07",1929360
"2018-11-08",1933111
"2018-11-09",1936665
"2018-11-10",1940803
"2018-11-11",1944911
"2018-11-12",1948940
"2018-11-13",1954269
"2018-11-14",1959672
"2018-11-15",1970036
"2018-11-16",1976548
"2018-11-17",1981498
"2018-11-18",1986158
"2018-11-19",1990191
"2018-11-20",1994298
"2018-11-21",2000574
"2018-11-22",2007363
"2018-11-23",2011973
"2018-11-24",2016583
"2018-11-25",2021799
"2018-11-26",2027644
"2018-11-27",2033918
"2018-11-28",2039139
"2018-11-29",2043674
"2018-11-30",2049730
"2018-12-01",2060588
"2018-12-02",2068203
"2018-12-03",2075358
"2018-12-04",2081830
"2018-12-05",2095488
"2018-12-06",2101077
"2018-12-07",2107551
"2018-12-08",2112055
"2018-12-09",2116524
"2018-12-10",2119686
"2018-12-11",2123253
"2018-12-12",2127225
"2018-12-13",2132804
"2018-12-14",2137680
"2018-12-15",2143998
"2018-12-16",2150173
"2018-12-17",2154972
"2018-12-18",2158723
"2018-12-19",2162866
"2018-12-20",2167823
"2018-12-21",2174853
"2018-12-22",2178673
"2018-12-23",2185945
"2018-12-24",2190002
"2018-12-25",2193174
"2018-12-26",2196136
"2018-12-27",2199030
"2018-12-28",2202313
"2018-12-29",2205437
"2018-12-30",2208530
"2018-12-31",2211936
"2019-01-01",2214415
"2019-01-02",2217100
"2019-01-03",2219833
"2019-01-04",2222610
"2019-01-05",2225445
"2019-01-06",2228203
"2019-01-07",2231389
