"Date","Unique Buyers"
"2017-06-22",0
"2017-06-23",8
"2017-06-24",13
"2017-06-25",18
"2017-06-26",20
"2017-06-27",22
"2017-06-28",23
"2017-06-29",28
"2017-06-30",32
"2017-07-01",32
"2017-07-02",33
"2017-07-03",35
"2017-07-04",38
"2017-07-05",38
"2017-07-06",40
"2017-07-07",40
"2017-07-08",41
"2017-07-09",43
"2017-07-10",46
"2017-07-11",47
"2017-07-12",49
"2017-07-13",51
"2017-07-14",53
"2017-07-15",55
"2017-07-16",57
"2017-07-17",57
"2017-07-18",59
"2017-07-19",60
"2017-07-20",60
"2017-07-21",61
"2017-07-22",62
"2017-07-23",63
"2017-07-24",65
"2017-07-25",67
"2017-07-26",68
"2017-07-27",69
"2017-07-28",70
"2017-07-29",71
"2017-07-30",71
"2017-07-31",71
"2017-08-01",71
"2017-08-02",71
"2017-08-03",73
"2017-08-04",73
"2017-08-05",74
"2017-08-06",74
"2017-08-07",74
"2017-08-08",76
"2017-08-09",76
"2017-08-10",76
"2017-08-11",78
"2017-08-12",80
"2017-08-13",81
"2017-08-14",83
"2017-08-15",83
"2017-08-16",83
"2017-08-17",83
"2017-08-18",83
"2017-08-19",83
"2017-08-20",83
"2017-08-21",83
"2017-08-22",83
"2017-08-23",84
"2017-08-24",84
"2017-08-25",85
"2017-08-26",85
"2017-08-27",85
"2017-08-28",87
"2017-08-29",87
"2017-08-30",87
"2017-08-31",87
"2017-09-01",87
"2017-09-02",88
"2017-09-03",88
"2017-09-04",89
"2017-09-05",89
"2017-09-06",89
"2017-09-07",89
"2017-09-08",90
"2017-09-09",90
"2017-09-10",90
"2017-09-11",90
"2017-09-12",90
"2017-09-13",90
"2017-09-14",90
"2017-09-15",90
"2017-09-16",90
"2017-09-17",91
"2017-09-18",92
"2017-09-19",92
"2017-09-20",92
"2017-09-21",94
"2017-09-22",94
"2017-09-23",95
"2017-09-24",95
"2017-09-25",95
"2017-09-26",95
"2017-09-27",96
"2017-09-28",96
"2017-09-29",96
"2017-09-30",96
"2017-10-01",96
"2017-10-02",96
"2017-10-03",96
"2017-10-04",96
"2017-10-05",96
"2017-10-06",96
"2017-10-07",96
"2017-10-08",96
"2017-10-09",96
"2017-10-10",96
"2017-10-11",96
"2017-10-12",96
"2017-10-13",98
"2017-10-14",98
"2017-10-15",98
"2017-10-16",98
"2017-10-17",98
"2017-10-18",98
"2017-10-19",98
"2017-10-20",99
"2017-10-21",99
"2017-10-22",99
"2017-10-23",99
"2017-10-24",99
"2017-10-25",99
"2017-10-26",99
"2017-10-27",99
"2017-10-28",99
"2017-10-29",99
"2017-10-30",100
"2017-10-31",101
"2017-11-01",101
"2017-11-02",103
"2017-11-03",103
"2017-11-04",104
"2017-11-05",104
"2017-11-06",104
"2017-11-07",105
"2017-11-08",105
"2017-11-09",105
"2017-11-10",105
"2017-11-11",105
"2017-11-12",105
"2017-11-13",107
"2017-11-14",107
"2017-11-15",108
"2017-11-16",108
"2017-11-17",108
"2017-11-18",108
"2017-11-19",109
"2017-11-20",112
"2017-11-21",139
"2017-11-22",145
"2017-11-23",194
"2017-11-24",272
"2017-11-25",296
"2017-11-26",302
"2017-11-27",320
"2017-11-28",444
"2017-11-29",813
"2017-11-30",1083
"2017-12-01",1466
"2017-12-02",2201
"2017-12-03",4818
"2017-12-04",8565
"2017-12-05",13189
"2017-12-06",16645
"2017-12-07",20768
"2017-12-08",25155
"2017-12-09",29306
"2017-12-10",33054
"2017-12-11",36493
"2017-12-12",38679
"2017-12-13",40950
"2017-12-14",42735
"2017-12-15",44144
"2017-12-16",45589
"2017-12-17",46780
"2017-12-18",48027
"2017-12-19",48810
"2017-12-20",49615
"2017-12-21",50364
"2017-12-22",51123
"2017-12-23",51915
"2017-12-24",52626
"2017-12-25",53072
"2017-12-26",53477
"2017-12-27",54010
"2017-12-28",54552
"2017-12-29",55071
"2017-12-30",55506
"2017-12-31",55888
"2018-01-01",56192
"2018-01-02",56561
"2018-01-03",56867
"2018-01-04",57085
"2018-01-05",57238
"2018-01-06",57528
"2018-01-07",57791
"2018-01-08",58050
"2018-01-09",58223
"2018-01-10",58337
"2018-01-11",58523
"2018-01-12",58736
"2018-01-13",58921
"2018-01-14",59147
"2018-01-15",59268
"2018-01-16",59373
"2018-01-17",59521
"2018-01-18",59768
"2018-01-19",59956
"2018-01-20",60145
"2018-01-21",60324
"2018-01-22",60468
"2018-01-23",60589
"2018-01-24",60805
"2018-01-25",60929
"2018-01-26",61051
"2018-01-27",61266
"2018-01-28",61350
"2018-01-29",61467
"2018-01-30",61592
"2018-01-31",61709
"2018-02-01",61769
"2018-02-02",61840
"2018-02-03",61925
"2018-02-04",62031
"2018-02-05",62121
"2018-02-06",62245
"2018-02-07",62374
"2018-02-08",62552
"2018-02-09",62683
"2018-02-10",62767
"2018-02-11",62859
"2018-02-12",62986
"2018-02-13",63110
"2018-02-14",63295
"2018-02-15",63402
"2018-02-16",63582
"2018-02-17",63685
"2018-02-18",63777
"2018-02-19",63925
"2018-02-20",64028
"2018-02-21",64148
"2018-02-22",64260
"2018-02-23",64351
"2018-02-24",64499
"2018-02-25",64598
"2018-02-26",64663
"2018-02-27",64856
"2018-02-28",64918
"2018-03-01",65027
"2018-03-02",65112
"2018-03-03",65139
"2018-03-04",65308
"2018-03-05",65491
"2018-03-06",65643
"2018-03-07",65720
"2018-03-08",65857
"2018-03-09",66047
"2018-03-10",66154
"2018-03-11",66225
"2018-03-12",66332
"2018-03-13",66414
"2018-03-14",66552
"2018-03-15",66649
"2018-03-16",66757
"2018-03-17",66871
"2018-03-18",66929
"2018-03-19",67051
"2018-03-20",67258
"2018-03-21",67548
"2018-03-22",67768
"2018-03-23",67909
"2018-03-24",68087
"2018-03-25",68210
"2018-03-26",68384
"2018-03-27",68550
"2018-03-28",68694
"2018-03-29",68805
"2018-03-30",68962
"2018-03-31",69073
"2018-04-01",69166
"2018-04-02",69270
"2018-04-03",69421
"2018-04-04",69509
"2018-04-05",69646
"2018-04-06",69828
"2018-04-07",69920
"2018-04-08",70095
"2018-04-09",70286
"2018-04-10",70415
"2018-04-11",70580
"2018-04-12",70658
"2018-04-13",70822
"2018-04-14",70987
"2018-04-15",71114
"2018-04-16",71198
"2018-04-17",71225
"2018-04-18",71309
"2018-04-19",71424
"2018-04-20",71583
"2018-04-21",71681
"2018-04-22",71768
"2018-04-23",72017
"2018-04-24",72168
"2018-04-25",72202
"2018-04-26",72231
"2018-04-27",72299
"2018-04-28",72359
"2018-04-29",72392
"2018-04-30",72490
"2018-05-01",72623
"2018-05-02",72721
"2018-05-03",72758
"2018-05-04",72834
"2018-05-05",72962
"2018-05-06",73080
"2018-05-07",73132
"2018-05-08",73202
"2018-05-09",73266
"2018-05-10",73326
"2018-05-11",73358
"2018-05-12",73427
"2018-05-13",73475
"2018-05-14",73521
"2018-05-15",73606
"2018-05-16",73666
"2018-05-17",73756
"2018-05-18",73821
"2018-05-19",73911
"2018-05-20",73968
"2018-05-21",74046
"2018-05-22",74119
"2018-05-23",74154
"2018-05-24",74433
"2018-05-25",74711
"2018-05-26",74937
"2018-05-27",75091
"2018-05-28",75168
"2018-05-29",75305
"2018-05-30",75432
"2018-05-31",75663
"2018-06-01",75729
"2018-06-02",75830
"2018-06-03",75932
"2018-06-04",76031
"2018-06-05",76084
"2018-06-06",76171
"2018-06-07",76240
"2018-06-08",76354
"2018-06-09",76405
"2018-06-10",76439
"2018-06-11",76599
"2018-06-12",76741
"2018-06-13",76839
"2018-06-14",76970
"2018-06-15",77054
"2018-06-16",77091
"2018-06-17",77158
"2018-06-18",77204
"2018-06-19",77345
"2018-06-20",77415
"2018-06-21",77628
"2018-06-22",77780
"2018-06-23",77876
"2018-06-24",77956
"2018-06-25",78072
"2018-06-26",78142
"2018-06-27",78199
"2018-06-28",78275
"2018-06-29",78331
"2018-06-30",78375
"2018-07-01",78465
"2018-07-02",78500
"2018-07-03",78535
"2018-07-04",78582
"2018-07-05",78641
"2018-07-06",78696
"2018-07-07",78763
"2018-07-08",78835
"2018-07-09",78903
"2018-07-10",78963
"2018-07-11",79030
"2018-07-12",79083
"2018-07-13",79189
"2018-07-14",79209
"2018-07-15",79322
"2018-07-16",79342
"2018-07-17",79423
"2018-07-18",79514
"2018-07-19",79576
"2018-07-20",79668
"2018-07-21",79782
"2018-07-22",79856
"2018-07-23",80006
"2018-07-24",80103
"2018-07-25",80220
"2018-07-26",80315
"2018-07-27",80434
"2018-07-28",80485
"2018-07-29",80554
"2018-07-30",80593
"2018-07-31",80772
"2018-08-01",80906
"2018-08-02",81038
"2018-08-03",81157
"2018-08-04",81275
"2018-08-05",81413
"2018-08-06",81458
"2018-08-07",81542
"2018-08-08",81542
"2018-08-09",81587
"2018-08-10",81657
"2018-08-11",81670
"2018-08-12",81745
"2018-08-13",81844
"2018-08-14",81999
"2018-08-15",82158
"2018-08-16",82308
"2018-08-17",82431
"2018-08-18",82563
"2018-08-19",82658
"2018-08-20",82719
"2018-08-21",82851
"2018-08-22",82885
"2018-08-23",83029
"2018-08-24",83167
"2018-08-25",83236
"2018-08-26",83317
"2018-08-27",83386
"2018-08-28",83431
"2018-08-29",83514
"2018-08-30",83600
"2018-08-31",83794
"2018-09-01",83851
"2018-09-02",83958
