"Date","Unique Sellers"
"2017-06-22",0
"2017-06-23",2
"2017-06-24",11
"2017-06-25",15
"2017-06-26",19
"2017-06-27",27
"2017-06-28",28
"2017-06-29",29
"2017-06-30",29
"2017-07-01",31
"2017-07-02",32
"2017-07-03",34
"2017-07-04",34
"2017-07-05",34
"2017-07-06",37
"2017-07-07",40
"2017-07-08",41
"2017-07-09",42
"2017-07-10",43
"2017-07-11",45
"2017-07-12",48
"2017-07-13",51
"2017-07-14",52
"2017-07-15",52
"2017-07-16",52
"2017-07-17",54
"2017-07-18",54
"2017-07-19",54
"2017-07-20",55
"2017-07-21",56
"2017-07-22",57
"2017-07-23",57
"2017-07-24",57
"2017-07-25",57
"2017-07-26",57
"2017-07-27",57
"2017-07-28",57
"2017-07-29",57
"2017-07-30",58
"2017-07-31",59
"2017-08-01",59
"2017-08-02",59
"2017-08-03",60
"2017-08-04",60
"2017-08-05",60
"2017-08-06",60
"2017-08-07",60
"2017-08-08",60
"2017-08-09",60
"2017-08-10",60
"2017-08-11",60
"2017-08-12",60
"2017-08-13",60
"2017-08-14",61
"2017-08-15",61
"2017-08-16",61
"2017-08-17",61
"2017-08-18",61
"2017-08-19",62
"2017-08-20",62
"2017-08-21",63
"2017-08-22",63
"2017-08-23",63
"2017-08-24",63
"2017-08-25",63
"2017-08-26",63
"2017-08-27",63
"2017-08-28",64
"2017-08-29",64
"2017-08-30",65
"2017-08-31",65
"2017-09-01",65
"2017-09-02",65
"2017-09-03",65
"2017-09-04",66
"2017-09-05",66
"2017-09-06",66
"2017-09-07",66
"2017-09-08",66
"2017-09-09",66
"2017-09-10",66
"2017-09-11",66
"2017-09-12",66
"2017-09-13",66
"2017-09-14",66
"2017-09-15",66
"2017-09-16",66
"2017-09-17",66
"2017-09-18",66
"2017-09-19",67
"2017-09-20",67
"2017-09-21",67
"2017-09-22",67
"2017-09-23",67
"2017-09-24",67
"2017-09-25",67
"2017-09-26",67
"2017-09-27",67
"2017-09-28",68
"2017-09-29",69
"2017-09-30",69
"2017-10-01",70
"2017-10-02",70
"2017-10-03",70
"2017-10-04",70
"2017-10-05",70
"2017-10-06",70
"2017-10-07",70
"2017-10-08",70
"2017-10-09",70
"2017-10-10",70
"2017-10-11",70
"2017-10-12",70
"2017-10-13",70
"2017-10-14",70
"2017-10-15",70
"2017-10-16",70
"2017-10-17",70
"2017-10-18",70
"2017-10-19",70
"2017-10-20",70
"2017-10-21",70
"2017-10-22",70
"2017-10-23",70
"2017-10-24",70
"2017-10-25",70
"2017-10-26",70
"2017-10-27",70
"2017-10-28",70
"2017-10-29",70
"2017-10-30",70
"2017-10-31",70
"2017-11-01",71
"2017-11-02",71
"2017-11-03",71
"2017-11-04",71
"2017-11-05",71
"2017-11-06",71
"2017-11-07",71
"2017-11-08",71
"2017-11-09",71
"2017-11-10",71
"2017-11-11",71
"2017-11-12",71
"2017-11-13",71
"2017-11-14",71
"2017-11-15",71
"2017-11-16",71
"2017-11-17",71
"2017-11-18",71
"2017-11-19",71
"2017-11-20",71
"2017-11-21",84
"2017-11-22",96
"2017-11-23",114
"2017-11-24",152
"2017-11-25",163
"2017-11-26",170
"2017-11-27",181
"2017-11-28",205
"2017-11-29",381
"2017-11-30",533
"2017-12-01",658
"2017-12-02",925
"2017-12-03",2240
"2017-12-04",4029
"2017-12-05",5504
"2017-12-06",6202
"2017-12-07",7478
"2017-12-08",9044
"2017-12-09",10654
"2017-12-10",11993
"2017-12-11",13693
"2017-12-12",14557
"2017-12-13",15387
"2017-12-14",16502
"2017-12-15",17004
"2017-12-16",17382
"2017-12-17",17898
"2017-12-18",18626
"2017-12-19",19063
"2017-12-20",20137
"2017-12-21",20768
"2017-12-22",21101
"2017-12-23",21305
"2017-12-24",21555
"2017-12-25",21736
"2017-12-26",21937
"2017-12-27",21908
"2017-12-28",22086
"2017-12-29",22269
"2017-12-30",22450
"2017-12-31",22613
"2018-01-01",22744
"2018-01-02",22840
"2018-01-03",23011
"2018-01-04",23065
"2018-01-05",23134
"2018-01-06",23230
"2018-01-07",23348
"2018-01-08",23477
"2018-01-09",23531
"2018-01-10",23576
"2018-01-11",23640
"2018-01-12",23750
"2018-01-13",23821
"2018-01-14",23928
"2018-01-15",23943
"2018-01-16",23966
"2018-01-17",23998
"2018-01-18",24061
"2018-01-19",24131
"2018-01-20",24177
"2018-01-21",24277
"2018-01-22",24378
"2018-01-23",24367
"2018-01-24",24367
"2018-01-25",24369
"2018-01-26",24372
"2018-01-27",24371
"2018-01-28",24367
"2018-01-29",24334
"2018-01-30",24484
"2018-01-31",24568
"2018-02-01",24616
"2018-02-02",24647
"2018-02-03",24694
"2018-02-04",24728
"2018-02-05",24752
"2018-02-06",24785
"2018-02-07",24814
"2018-02-08",24927
"2018-02-09",25004
"2018-02-10",25075
"2018-02-11",25171
"2018-02-12",25243
"2018-02-13",25272
"2018-02-14",25536
"2018-02-15",25711
"2018-02-16",25892
"2018-02-17",25949
"2018-02-18",26029
"2018-02-19",26117
"2018-02-20",26188
"2018-02-21",26245
"2018-02-22",26366
"2018-02-23",26388
"2018-02-24",26423
"2018-02-25",26467
"2018-02-26",26493
"2018-02-27",26572
"2018-02-28",26604
"2018-03-01",26669
"2018-03-02",26717
"2018-03-03",26770
"2018-03-04",26811
"2018-03-05",26818
"2018-03-06",26834
"2018-03-07",26841
"2018-03-08",26811
"2018-03-09",27016
"2018-03-10",27079
"2018-03-11",27159
"2018-03-12",27262
"2018-03-13",27280
"2018-03-14",27408
"2018-03-15",27470
"2018-03-16",27515
"2018-03-17",27550
"2018-03-18",27598
"2018-03-19",27653
"2018-03-20",27739
"2018-03-21",27923
"2018-03-22",28033
"2018-03-23",28155
"2018-03-24",28223
"2018-03-25",28341
"2018-03-26",28399
"2018-03-27",28442
"2018-03-28",28493
"2018-03-29",28536
"2018-03-30",28594
"2018-03-31",28654
"2018-04-01",28726
"2018-04-02",28818
"2018-04-03",28848
"2018-04-04",28883
"2018-04-05",28936
"2018-04-06",29021
"2018-04-07",29157
"2018-04-08",29255
"2018-04-09",29265
"2018-04-10",29277
"2018-04-11",29296
"2018-04-12",29308
"2018-04-13",29306
"2018-04-14",29430
"2018-04-15",29491
"2018-04-16",29580
"2018-04-17",29621
"2018-04-18",29664
"2018-04-19",29693
"2018-04-20",29723
"2018-04-21",29750
"2018-04-22",29766
"2018-04-23",29784
"2018-04-24",29899
"2018-04-25",29932
"2018-04-26",29972
"2018-04-27",30068
"2018-04-28",30178
"2018-04-29",30254
"2018-04-30",30418
"2018-05-01",30574
"2018-05-02",30677
"2018-05-03",30802
"2018-05-04",30853
"2018-05-05",30905
"2018-05-06",30987
"2018-05-07",31019
"2018-05-08",31100
"2018-05-09",31184
"2018-05-10",31264
"2018-05-11",31282
"2018-05-12",31297
"2018-05-13",31328
"2018-05-14",31355
"2018-05-15",31373
"2018-05-16",31392
"2018-05-17",31412
"2018-05-18",31423
"2018-05-19",31444
"2018-05-20",31500
"2018-05-21",31535
"2018-05-22",31614
"2018-05-23",31702
"2018-05-24",31697
"2018-05-25",31703
"2018-05-26",31708
"2018-05-27",31717
"2018-05-28",31723
"2018-05-29",31733
"2018-05-30",31750
"2018-05-31",31767
"2018-06-01",31779
"2018-06-02",31783
"2018-06-03",31780
"2018-06-04",31774
"2018-06-05",31781
"2018-06-06",31899
"2018-06-07",31948
"2018-06-08",31973
"2018-06-09",32017
