"Date","Active Market Wallets"
"2017-06-22",0
"2017-06-23",8
"2017-06-24",21
"2017-06-25",28
"2017-06-26",34
"2017-06-27",44
"2017-06-28",46
"2017-06-29",49
"2017-06-30",53
"2017-07-01",55
"2017-07-02",57
"2017-07-03",59
"2017-07-04",62
"2017-07-05",62
"2017-07-06",64
"2017-07-07",65
"2017-07-08",67
"2017-07-09",70
"2017-07-10",74
"2017-07-11",76
"2017-07-12",81
"2017-07-13",86
"2017-07-14",87
"2017-07-15",88
"2017-07-16",90
"2017-07-17",91
"2017-07-18",93
"2017-07-19",93
"2017-07-20",93
"2017-07-21",95
"2017-07-22",96
"2017-07-23",97
"2017-07-24",99
"2017-07-25",101
"2017-07-26",102
"2017-07-27",103
"2017-07-28",104
"2017-07-29",105
"2017-07-30",105
"2017-07-31",106
"2017-08-01",106
"2017-08-02",106
"2017-08-03",109
"2017-08-04",109
"2017-08-05",110
"2017-08-06",110
"2017-08-07",110
"2017-08-08",112
"2017-08-09",112
"2017-08-10",112
"2017-08-11",114
"2017-08-12",116
"2017-08-13",117
"2017-08-14",118
"2017-08-15",118
"2017-08-16",118
"2017-08-17",118
"2017-08-18",118
"2017-08-19",119
"2017-08-20",119
"2017-08-21",120
"2017-08-22",120
"2017-08-23",121
"2017-08-24",121
"2017-08-25",122
"2017-08-26",122
"2017-08-27",122
"2017-08-28",124
"2017-08-29",124
"2017-08-30",125
"2017-08-31",125
"2017-09-01",125
"2017-09-02",126
"2017-09-03",126
"2017-09-04",128
"2017-09-05",128
"2017-09-06",128
"2017-09-07",128
"2017-09-08",129
"2017-09-09",129
"2017-09-10",129
"2017-09-11",129
"2017-09-12",129
"2017-09-13",129
"2017-09-14",129
"2017-09-15",129
"2017-09-16",129
"2017-09-17",130
"2017-09-18",131
"2017-09-19",132
"2017-09-20",132
"2017-09-21",134
"2017-09-22",134
"2017-09-23",135
"2017-09-24",135
"2017-09-25",135
"2017-09-26",135
"2017-09-27",136
"2017-09-28",137
"2017-09-29",137
"2017-09-30",137
"2017-10-01",138
"2017-10-02",138
"2017-10-03",138
"2017-10-04",138
"2017-10-05",138
"2017-10-06",138
"2017-10-07",138
"2017-10-08",138
"2017-10-09",138
"2017-10-10",138
"2017-10-11",138
"2017-10-12",138
"2017-10-13",140
"2017-10-14",140
"2017-10-15",140
"2017-10-16",140
"2017-10-17",140
"2017-10-18",140
"2017-10-19",140
"2017-10-20",141
"2017-10-21",141
"2017-10-22",141
"2017-10-23",141
"2017-10-24",141
"2017-10-25",141
"2017-10-26",141
"2017-10-27",141
"2017-10-28",141
"2017-10-29",141
"2017-10-30",142
"2017-10-31",143
"2017-11-01",144
"2017-11-02",146
"2017-11-03",146
"2017-11-04",147
"2017-11-05",147
"2017-11-06",147
"2017-11-07",148
"2017-11-08",148
"2017-11-09",148
"2017-11-10",148
"2017-11-11",148
"2017-11-12",148
"2017-11-13",150
"2017-11-14",150
"2017-11-15",151
"2017-11-16",151
"2017-11-17",151
"2017-11-18",151
"2017-11-19",152
"2017-11-20",155
"2017-11-21",184
"2017-11-22",190
"2017-11-23",240
"2017-11-24",318
"2017-11-25",342
"2017-11-26",348
"2017-11-27",366
"2017-11-28",489
"2017-11-29",863
"2017-11-30",1139
"2017-12-01",1526
"2017-12-02",2264
"2017-12-03",4905
"2017-12-04",8683
"2017-12-05",13332
"2017-12-06",16758
"2017-12-07",21070
"2017-12-08",25506
"2017-12-09",29619
"2017-12-10",33407
"2017-12-11",36716
"2017-12-12",39035
"2017-12-13",41248
"2017-12-14",43086
"2017-12-15",44488
"2017-12-16",45936
"2017-12-17",47105
"2017-12-18",48379
"2017-12-19",49082
"2017-12-20",49991
"2017-12-21",50747
"2017-12-22",51465
"2017-12-23",52301
"2017-12-24",53019
"2017-12-25",53456
"2017-12-26",53862
"2017-12-27",54420
"2017-12-28",54952
"2017-12-29",55474
"2017-12-30",55908
"2017-12-31",56289
"2018-01-01",56583
"2018-01-02",56994
"2018-01-03",57291
"2018-01-04",57519
"2018-01-05",57660
"2018-01-06",57948
"2018-01-07",58206
"2018-01-08",58461
"2018-01-09",58637
"2018-01-10",58745
"2018-01-11",58909
"2018-01-12",59139
"2018-01-13",59341
"2018-01-14",59571
"2018-01-15",59696
"2018-01-16",59804
"2018-01-17",59961
"2018-01-18",60199
"2018-01-19",60385
"2018-01-20",60577
"2018-01-21",60757
"2018-01-22",60899
"2018-01-23",61028
"2018-01-24",61226
"2018-01-25",61333
"2018-01-26",61429
"2018-01-27",61682
"2018-01-28",61777
"2018-01-29",61905
"2018-01-30",62027
"2018-01-31",62143
"2018-02-01",62205
"2018-02-02",62287
"2018-02-03",62357
"2018-02-04",62470
"2018-02-05",62559
"2018-02-06",62694
"2018-02-07",62821
"2018-02-08",63013
"2018-02-09",63138
"2018-02-10",63229
"2018-02-11",63323
"2018-02-12",63473
"2018-02-13",63592
"2018-02-14",63764
"2018-02-15",63910
"2018-02-16",64120
"2018-02-17",64231
"2018-02-18",64330
"2018-02-19",64484
"2018-02-20",64586
"2018-02-21",64713
"2018-02-22",64838
"2018-02-23",64956
"2018-02-24",65104
"2018-02-25",65199
"2018-02-26",65266
"2018-02-27",65451
"2018-02-28",65514
"2018-03-01",65629
"2018-03-02",65709
"2018-03-03",65744
"2018-03-04",65999
"2018-03-05",66169
"2018-03-06",66325
"2018-03-07",66433
"2018-03-08",66585
"2018-03-09",66779
"2018-03-10",66904
"2018-03-11",66991
"2018-03-12",67092
"2018-03-13",67207
"2018-03-14",67343
"2018-03-15",67445
"2018-03-16",67554
"2018-03-17",67670
"2018-03-18",67732
"2018-03-19",67869
"2018-03-20",68075
"2018-03-21",68373
"2018-03-22",68585
"2018-03-23",68721
"2018-03-24",68890
"2018-03-25",69030
"2018-03-26",69208
"2018-03-27",69384
"2018-03-28",69537
"2018-03-29",69669
"2018-03-30",69820
"2018-03-31",69937
"2018-04-01",70020
"2018-04-02",70120
"2018-04-03",70263
"2018-04-04",70366
"2018-04-05",70509
"2018-04-06",70706
"2018-04-07",70804
"2018-04-08",70998
"2018-04-09",71165
"2018-04-10",71291
"2018-04-11",71470
"2018-04-12",71560
"2018-04-13",71744
"2018-04-14",71911
"2018-04-15",72056
"2018-04-16",72157
"2018-04-17",72188
"2018-04-18",72275
"2018-04-19",72388
"2018-04-20",72540
"2018-04-21",72639
"2018-04-22",72733
"2018-04-23",72996
"2018-04-24",73142
"2018-04-25",73177
"2018-04-26",73227
"2018-04-27",73337
"2018-04-28",73440
"2018-04-29",73519
"2018-04-30",73663
"2018-05-01",73873
"2018-05-02",74013
"2018-05-03",74080
"2018-05-04",74187
"2018-05-05",74346
"2018-05-06",74524
"2018-05-07",74606
"2018-05-08",74693
"2018-05-09",74775
"2018-05-10",74830
"2018-05-11",74891
"2018-05-12",74966
"2018-05-13",75038
"2018-05-14",75098
"2018-05-15",75170
"2018-05-16",75237
"2018-05-17",75328
"2018-05-18",75388
"2018-05-19",75467
"2018-05-20",75529
"2018-05-21",75613
"2018-05-22",75729
"2018-05-23",75763
"2018-05-24",76026
"2018-05-25",76276
"2018-05-26",76480
"2018-05-27",76629
"2018-05-28",76706
"2018-05-29",76847
"2018-05-30",76988
"2018-05-31",77231
"2018-06-01",77284
"2018-06-02",77402
"2018-06-03",77511
"2018-06-04",77619
"2018-06-05",77677
"2018-06-06",77789
"2018-06-07",77844
"2018-06-08",77960
"2018-06-09",78028
"2018-06-10",78064
"2018-06-11",78249
"2018-06-12",78379
"2018-06-13",78462
"2018-06-14",78595
"2018-06-15",78669
"2018-06-16",78715
"2018-06-17",78793
"2018-06-18",78865
"2018-06-19",79025
"2018-06-20",79097
"2018-06-21",79317
"2018-06-22",79481
"2018-06-23",79579
"2018-06-24",79653
"2018-06-25",79773
"2018-06-26",79845
"2018-06-27",79899
"2018-06-28",79961
"2018-06-29",80024
"2018-06-30",80081
"2018-07-01",80162
"2018-07-02",80200
"2018-07-03",80237
"2018-07-04",80306
"2018-07-05",80374
"2018-07-06",80423
"2018-07-07",80487
"2018-07-08",80550
"2018-07-09",80610
"2018-07-10",80669
"2018-07-11",80730
"2018-07-12",80792
"2018-07-13",80901
"2018-07-14",80923
"2018-07-15",81039
"2018-07-16",81064
"2018-07-17",81150
"2018-07-18",81234
"2018-07-19",81301
"2018-07-20",81415
"2018-07-21",81526
"2018-07-22",81610
"2018-07-23",81767
"2018-07-24",81867
"2018-07-25",81951
"2018-07-26",82013
"2018-07-27",82146
"2018-07-28",82213
"2018-07-29",82290
"2018-07-30",82332
"2018-07-31",82524
"2018-08-01",82666
"2018-08-02",82791
"2018-08-03",82907
"2018-08-04",83019
"2018-08-05",83194
"2018-08-06",83287
"2018-08-07",83387
"2018-08-08",83400
"2018-08-09",83446
"2018-08-10",83508
"2018-08-11",83522
"2018-08-12",83616
"2018-08-13",83717
"2018-08-14",83917
"2018-08-15",84083
"2018-08-16",84263
"2018-08-17",84388
"2018-08-18",84525
"2018-08-19",84601
"2018-08-20",84664
"2018-08-21",84788
"2018-08-22",84829
"2018-08-23",84989
"2018-08-24",85115
"2018-08-25",85187
"2018-08-26",85225
"2018-08-27",85299
"2018-08-28",85389
"2018-08-29",85457
"2018-08-30",85551
"2018-08-31",85747
"2018-09-01",85817
